Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Chen, Yan; Wetter, Michael; Lei, Xuechen; Lerond, Jeremy; Prakash, Anand K; Jung, Yun Joon; Ehrlich, Paul; Vrabie, Draguna; ",Control performance verification–the hidden opportunity of ensuring high performance of building control system,Building Simulation 2023,18,,3848-3855,2023,IBPSA
"Prakash, Anand; Brown, Richard; Blum, David; Zhang, Kun; Paul, Lazlo; ",SolarPlus-Optimizer v0. 1,US Department of Energy (DOE) Software,,,381,2022,
"Prakash, Anand Krishnan; Gerber, Daniel; Paul, Lazlo; ",California Load Flexibility Research and Development Hub (CalFlexhub) v0. 1,US Department of Energy (DOE) Software,,,385,2022,
"Huang, Weiping; Casillas, Armando; Pritoni, Marco; Agarwal, Shreya; Yin, Rongxin; Prakash, Anand; Helmns, Dre; Piette, Mary Ann; ",Analyzing The Impact Of Energy Efficient ASHRAE Guideline 36 Control Sequences On Demand Flexibility Potential Of Commercial Buildings: A Multi-Region Analysis,,,,,2024,
"Casillas, Armando; Defauw, Thomas; Helmns, Dre; Prakash, Anand; Huang, Weiping; Grant, Peter; Pritoni, Marco; ",Demystifying Thermal Energy Storage Integrated Heat Pump Systems: Development of Generalized Sizing and Control Algorithms for Demand Flexibility,,,,,2024,
"Casillas, Armando; Prakash, Anand; Kim, Donghun; Brown, Richard; Pritoni, Marco; Grant, Peter; ",Practical challenges of model predictive control (MPC) for grid interactive small and medium commercial buildings,,,,,2024,
"Pritoni, Marco; Wetter, Michael; Paul, Lazlo; Prakash, Anand; Huang, Weiping; Bushby, Steven; Delgoshaei, Parastoo; Poplawski, Michael; Saha, Avijit; Fierro, Gabe; ",Digital and Interoperable: The future of building automation is on the horizon. What's in it for me?,,,,,2024,
"woo Ham, Sang; Paul, Lazlo; Casillas, Armando; Prakash, Anand; Kim, Donghun; Brown, Richard; Pritoni, Marco; Grant, Peter; ",Practical challenges of model predictive control (MPC) for grid interactive small and medium commercial buildings,Proceedings of the 2024 summer study on energy efficiency in buildings,,,1-15,2024,ACEEE
"Nordman, Bruce; Parker, Lauren; Prakash, Anand Krishnan; Piette, Mary Ann; ",Transforming Demand Response Using Open ADR 3.0,"Lawrence Berkeley National Laboratory: Berkeley, CA, USA",,,,2024,
"Gerber, Daniel L; Prakash, Anand; Chundu, Kenny; Shackelford, Jordan; Berkeley, Lawrence; ",Price-based Communications for Load Shedding in Overloaded Panels,,,,,2024,
"Leong, Michael; Mahanta, Medha; Yin, Clara; Garcia, Timothy Jairus; Tan, Zach; Prakash, Anand Krishnan; Black, Doug; Yin, Rongxin; ",DFAT: A web-based toolkit for estimating demand flexibility in building-to-grid integration,SoftwareX,30,,102131,2025,Elsevier
"Mulayim, Ozan Baris; Paul, Lazlo; Pritoni, Marco; Prakash, Anand Krishnan; Sudarshan, Malavikha; Fierro, Gabe; ",Large language models for the creation and use of semantic ontologies in buildings: Requirements and challenges,"Proceedings of the 11th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",,,312-317,2024,
"Prakash, Anand Krishnan; De Andrade Pereira, Flavia; Bergés, Mario; Pritoni, Marco; Akinci, Burcu; ",Ontologies at work: analyzing information requirements for model predictive control in buildings,"Proceedings of the 11th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",,,214-218,2024,
"Paul, Lazlo; De Andrade Pereira, Flavia; Prakash, Anand Krishnan; Ham, Sang Woo; Feng, Jingjuan Dove; Brown, Rich; Pritoni, Marco; ",Open building operating system: a grid-responsive semantics-driven control platform for buildings,Science and Technology for the Built Environment,31,3,294-311,2025,Taylor & Francis
"Alstone, Peter; Brown, Richard; Zoellick, Jim; Pritoni, Marco; Blum, David; Radecsky, Kristen; Zhang, Kun; Prakash, Anand; Perez, Pol; ",Resilient buildings for fire-adapted landscapes: EE and flexible loads integrated with solar and storage microgrids,,,,,2020,
"Nordman, Bruce; Kundu, Bijit; Prakash, Anand; Levine, Rachel; Pritoni, Marco; Shackleford, Jordan; Athalye, Rahul; Khandekar, Aditya; Clark, Callie; Aviles, Rebecca; ","Energy Reporting: Device Demonstration, Communication Protocols, and Codes and Standards",,,,,2024,
"Pritoni, Marco; Prakash, Anand; Blum, David; Zhang, Kun; Tang, Rui; Granderson, Jessica; Cheng, Hwakong; Paliaga, Gwelen; ","Advanced control sequences and FDD technology. Just shiny objects, or ready for scale?",,,,,2020,
"Clark, Callie; Prakash, Anand; Pritoni, Marco; Kloss, Margarita; Gupta, Pranav; Nordman, Bruce; Piette, Mary Ann; Kamel, Michael; Semaan, Tony S; Eisele, Ann; ",Harvesting the low-hanging fruit of high energy savings--Virtual Occupancy using Wi-Fi Data,,,,,2020,
"Helmns, Dre; Blum, David; Casillas, Armando; Prakash, Anand Krishnan; Woolley, Jonathan; Vernon, David; Mande, Caton; Woodcox, Michael; Dutton, Spencer; ",Towards a Techno-Economic Analysis of PCM Integrated Hybrid HVAC Systems,,,,,2021,
"Grant, Peter; Su, Tzu-Ching; Fernandes, Luis; Shackelford, Jordan; Prakash, Anand; Czarneki, Stephen; Yu, Pei-Yu; Lin, Feng-Yi; ",OpenFacadeControl: enabling integration of automated facades with other building systems,,,,,2024,
"Mulayim, Ozan Baris; Prakash, Anand Krishnan; Paul, Lazlo; Pritoni, Marco; ",Extraction and Analysis of Time Series Data from Building Automation Systems Using Large Language Models,,,,,2025,
"Paul, Lazlo; Zanetti, Ettore; Liu, Jingjing; Casillas, Armando; Prakash, Anand Krishnan; Blum, David; Nirenberg, Robert; Pritoni, Marco; ",BOPTEST as a Platform for Building Controls and Grid-Interactive Buildings Workforce Training,,,,,2025,
"Paul, Lazlo; Ham, Sang Woo; Prakash, Anand; Casillas, Armando; Yang, Tao; Pritoni, Marco; ",HP-FLEX: Field demonstration of the semantics-driven configuration of a Model Predictive Control system to make heat pumps flexible,"ASHRAE TRANSACTIONS 2025, VOL 131, PT 2",131,Pt2,697-706,2025,
"Walther, Karl; Wetter, Michael; Prakash, Anand; Hu, Jianjun; ",CDL-PLC translator: From Modelica HVAC control design to IEC 61131 PLC implementation,Modelica Conferences,,,515-524,2025,
"Wetter, Michael; Chen, Yan; Devaprasad, Karthik; Ehrlich, Paul; Gautier, Antoine; Hu, Jianjun; Prakash, Anand; Pritoni, Marco; ",Modelica Meets ASHRAE: Towards A Digital Standard for Building Control,Modelica Conferences,,,505-513,2025,
"Paul, Lazlo; Mulayim, Ozan Baris; Saka, Umut Mete; Prakash, Anand Krishnan; Fierro, Gabe; Pritoni, Marco; ","I Can’t Read All That! Improving the Usability of Semantic Models Using Concise, Ontology-Agnostic, Building-Specific Schemas","Proceedings of the 12th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",,,257-261,2025,
"Mulayim, Ozan Baris; Anwar, Avia; Saka, Umut Mete; Paul, Lazlo; Prakash, Anand Krishnan; Fierro, Gabe; Pritoni, Marco; Bergés, Mario; ",BuildingQA: A benchmark for natural language question answering over building knowledge graphs,"Proceedings of the 12th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",,,65-75,2025,
"Hales, Laurel; Bose, Baishakhi; McCarty, Rachel; Anwansedo, Ajayi; Usovich, Kseniya; Palos, Karla; Van Dunsen, Eric; Acosta, Ciara; Miller, Sage; Prakash, Anand Krishnan; ",BLDAP Intro to Python/Data Science Curriculum v1,US Department of Energy (DOE) Software,,,505,2025,
"Blum, David; Prakash, Anand Krishnan; Raza, Ahsan; Yoder, Tim; ",Guideline 36 Conformance Test v2. 0,US Department of Energy (DOE) Software,,,576,2025,
"de Andrade Pereira, Flavia; Pritoni, Marco; Casillas, Armando; Granderson, Jessica; Paul, Lazlo; Prakash, Anand; Shaw, Conor; Rovas, Dimitrios; Martin-Toral, Susana; Finn, Donal; ","Bridging semantics, control specifications and assessment: A library for scalable demand flexibility controls",Control Engineering Practice,172,,106899,2026,Pergamon
"Ham, Sang Woo; Kim, Donghun; Paul, Lazlo; Casillas, Armando; Prakash, Anand; Brown, Richard; Pritoni, Marco; ",Machine learning-enhanced MPC for demand flexibility in small commercial buildings: An experimental study,Energy and Buildings,,,117324,2026,Elsevier
"Mulayim, Ozan Baris; Prakash, Anand Krishnan; Agarwal, Yuvraj; Bergés, Mario; Pritoni, Marco; Supple, Derek; Schaefer, Steve; Shah, Mitali; ",Semantic Technologies in Practical Demand Response: An Information Requirement-based Roadmap,Proceedings of the 17th ACM International Conference on Future and Sustainable Energy Systems,,,670-694,2026,
"Zhang, Kun; Prakash, Anand; Paul, Lazlo; ",Model predictive control for demand flexibility: Real-world operation of a commercial,"Advances in Applied Energy, 7",,,,2022,
"Paul, Lazlo; Prakash, Anand Krishnan; Pritoni, Marco; ",Query Relaxation for LLM-Generated SPARQL Queries over Building Knowledge Graphs,Proceedings of the 2026 ACM Sustainability Week,,,584-585,2026,
"Pritoni, Marco; Prakash, Anand; Paul, Lazlo; Huang, Weiping; Kukharchuk, Roman; Dawson-Haggerty, Stephen; Sulzer, Matthias; Wetter, Michael; ",Digitalizing Building Control Deployment for Retrofits: A Case Study on Demand-Flexible Control Sequences,IBPSA-USA Building Simulation Conference,12,,,2026,
"SINGH, RAM NOHAR; PRAKASH, ANAND; ",The Journal of Scientific Research Vol. VIII,Journal of Scientific Research of the Benares Hindu University,8,,117,1957,Benares Hindu University.
"Pritoni, Marco; Clark, Callie; Prakash, Anand; ",Harvesting the low-hanging fruit of high energy savings--Virtual Occupancy using Wi-Fi,,,,,2020,
"Prakash, Anand Krishnan; Touzani, Samir; Kiran, Mariam; Granderson, Jessica; Pritoni, Marco; ",Deep Reinforcement Learning in Buildings,Proceedings of the 1st International Workshop on Reinforcement Learning for Energy Management in Buildings & Cities,,,,,
"Zafiris, Marina; Prakash, Anand Krishnan; Raftery, Paul; Pritoni, Marco; Roa, Carlos Duarte; Paul, Lazlo; Fierro, Gabe; ",Query relaxation for portable brick-based applications,"Proceedings of the 8th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",,,,2021,
"Paul, Lazlo; Prakash, Anand; Zhang, Kun; ","SolarPlus Optimizer: Integrated Control of Solar, Batteries, and Flexible Loads for Small",,,,,2022,
"Prakash, Anand Krishnan; Paul, Lazlo; Huang, Weiping; Zanetti, Ettore; Ham, Sang Woo; Blum, David; Kim, Donghun; Pritoni, Marco; De Andrade Pereira, Flavia; Duarte Roa, Carlos; ",Digitizing Today’s Buildings in the Real World: Lessons from Field Demonstrations,,,,,2026,
"Prakash, Anand Krishnan; Woo-Shem, Brian; Pritoni, Marco; Paul, Lazlo; Grant, Peter; Huang, Weiping; Liu, Jingjing; Piette, Mary Ann; Nordman, Bruce; Jackson, Don; ",From the cloud to your basement: Can New Communication Protocols Solve the Interoperability Roadblocks in Residential Demand Flexibility?,,,,,2026,
"Ma, Zhenjun; Lu, Menglong; Yang, Xiaochen; Hu, Maomao; Prakash, Anand; Candanedo, José; Tohidi, Shahab; Rovas, Dimitrios; Katipamula, Srinivas; Johra, Hicham; ","Delivering building demand flexibility for grid-interactive operation: from perception and cognition to decision, execution, and verification",Applied Energy,426,,128668,2026,Elsevier
